gene,D3,K2
ADAMTS17,43,14
ADAMTS18,0,0
ADAMTS19,1,0
ADAMTS19-AS1,0,0
ADAMTS2,714,453
ADAMTS20,23,5
ADAMTS3,24,14
ADAMTS4,2,1
ADAMTS5,2,1
ADAMTS6,49,30
ADAMTS7,188,91
ADAMTS7P1,0,1
ADAMTS8,0,0
ADAMTS9,2538,1638
ADAMTS9-AS1,17,5
ADAMTS9-AS2,8,2
ADAMTSL1,2,0
ADAMTSL2,0,0
ADAMTSL3,0,0
ADAMTSL4,358,134
ADAMTSL4-AS1,2,6
ADAMTSL5,110,80
ADAP1,23,33
ADAP2,10,0
ADAR,7340,2380
ADARB1,3450,1328
ADARB2,1,0
ADARB2-AS1,0,0
ADAT1,832,190
ADAT2,830,540
ADAT3,3,1
ADCK1,230,80
ADCK2,1051,704
ADCK3,1087,1275
ADCK4,263,311
ADCK5,77,63
ADCY1,32,2
ADCY10,2,9
ADCY10P1,48,64
ADCY2,0,0
ADCY3,2284,408
ADCY4,0,1
ADCY5,1,2
ADCY6,1242,273
ADCY7,1137,327
ADCY8,0,0
ADCY9,1539,245
ADCYAP1,3,1
ADCYAP1R1,0,0
ADD1,3704,2062
ADD2,748,769
ADD3,138,73
ADD3-AS1,2,0
ADGB,0,0
ADGRA1,0,0
ADGRA1-AS1,0,0
ADGRA2,1105,128
ADGRA3,2207,780
ADGRB1,2,1
ADGRB2,151,72
ADGRB3,17,1
ADGRD1,30,10
ADGRE1,27,71
ADGRE2,435,230
ADGRE3,0,0
ADGRE4P,0,0
ADGRE5,3487,3091
ADGRF1,0,0
ADGRF2,0,0
ADGRF3,5,7
ADGRF4,1,1
ADGRF5,3499,1846
ADGRG1,13,37
ADGRG2,1117,568
ADGRG3,0,0
ADGRG4,0,0
ADGRG5,0,0
ADGRG6,548,283
ADGRG7,0,0
ADGRL1,1614,282
ADGRL2,1105,372
ADGRL3,646,231
ADGRL3-AS1,3,1
ADGRL4,0,0
ADGRV1,2,2
ADH1A,0,2
ADH1B,0,3
ADH1C,0,0
ADH4,1,0
ADH5,2588,2791
ADH6,6,1
ADH7,0,0
ADHFE1,1,1
ADI1,1849,2653
ADIG,0,0
ADIPOQ,0,0
ADIPOQ-AS1,0,0
ADIPOR1,2354,2233
ADIPOR2,2640,1232
ADIRF,11,1
ADK,780,1449
ADM,111,1423
ADM2,326,4
ADM5,32,105
ADNP,4256,1399
ADNP-AS1,15,13
ADNP2,2089,298
ADO,1144,109
ADORA1,5,6
ADORA2A,2,5
ADORA2A-AS1,6,15
ADORA2B,135,32
ADORA3,0,0
ADPGK,1378,854
ADPGK-AS1,3,0
ADPRH,30,12
ADPRHL1,16,18
ADPRHL2,700,455
ADPRM,237,424
ADRA1A,0,0
ADRA1B,20,12
ADRA1D,9,0
ADRA2A,0,1
ADRA2B,0,0
ADRA2C,3,2
ADRB1,12,0
ADRB2,247,89
ADRB3,0,0
ADRBK1,1370,821
ADRBK2,574,96
ADRM1,1376,1348
ADSL,3606,4042
ADSS,1759,1505
ADSSL1,31,63
ADTRP,5,7
AEBP1,0,3
AEBP2,531,286
AEN,1148,392
AES,4417,2870
AFAP1,1819,793
AFAP1-AS1,5,13
AFAP1L1,1005,721
AFAP1L2,1,0
AFF1,2263,887
AFF2,2653,1569
AFF3,0,1
AFF4,6093,2956
AFG3L1P,164,89
AFG3L2,2048,1900
AFM,0,0
AFMID,514,548
